index,name,ext,ext_err,ra,dec,l,b,p_err(95\%)
0,J0039-1114,0.101,0.172,9.997,-11.249,112.764,-73.894,0.634
1,J0207+4302,0.146,0.053,31.768,43.049,137.325,-17.699,0.123
2,J0200+4334,0.508,0.066,30.001,43.579,135.873,-17.563,0.237
3,J0212+4254,0.243,0.062,33.017,42.916,138.280,-17.540,0.233
4,J0216+4239,0.106,0.042,34.113,42.653,139.167,-17.523,0.078
5,J0316+4119,0.036,0.033,49.170,41.332,150.173,-13.732,0.051
6,J2346+5144,0.044,0.079,356.636,51.748,112.821,-9.845,0.115
7,J1959+1138,0.194,0.033,299.872,11.645,51.263,-9.381,0.087
8,J0214+5145,0.010,0.958,33.644,51.761,135.781,-9.024,0.124
9,J0520+2115,0.214,0.025,80.365,21.212,183.566,-8.769,0.178
10,J1910-0644,0.010,0.665,287.577,-6.749,29.039,-7.254,0.172
11,J0534+2200,0.010,0.001,83.630,22.011,184.559,-5.788,0.010
12,J0534+2221,0.010,0.001,83.590,22.349,184.253,-5.639,0.019
13,J0536+2146,0.010,0.038,84.114,21.780,184.996,-5.532,0.056
14,J0153+5622,0.010,0.133,28.584,56.324,131.615,-5.484,0.112
15,J0007+5659,0.246,0.030,2.004,56.929,117.007,-5.442,0.094
16,J1849-1144,0.231,0.098,282.417,-11.547,22.430,-4.850,0.221
17,J0305+5302,0.135,0.067,46.536,53.103,142.442,-4.589,0.165
18,J0539+2217,0.203,0.057,84.962,22.411,184.877,-4.532,0.189
19,J1924+0514,0.856,0.138,290.608,5.519,41.397,-4.334,0.506
20,J0541+2326,0.309,0.027,85.434,23.379,184.281,-3.652,0.097
21,J0235+5640,0.594,0.079,38.739,56.622,136.852,-3.426,0.197
22,J0115+5840,1.324,0.222,21.197,59.452,127.165,-3.146,0.777
23,J2028+3319,0.507,0.079,307.023,33.343,73.176,-3.079,0.161
24,J0544+2323,1.233,0.064,86.385,23.459,184.669,-2.866,0.231
25,J2349+5916,0.234,0.079,357.421,59.150,115.077,-2.777,0.248
26,J1913+0456,0.036,0.063,288.302,4.951,39.825,-2.565,0.058
27,J1853-0618,1.113,0.202,282.826,-5.190,28.295,-2.334,0.846
28,J2338+6424,0.087,0.041,350.894,58.744,111.733,-2.204,0.067
29,J1910+0512,0.130,0.034,287.626,5.101,39.647,-1.898,0.068
